cr_id,gender,age,race
1001701,MALE,25.0,BLACK
1001716,MALE,38.0,BLACK
1001724,FEMALE,81.0,WHITE
1001732,FEMALE,53.0,BLACK
1001743,MALE,,BLACK
1001745,FEMALE,47.0,BLACK
1001751,FEMALE,33.0,BLACK
1001753,MALE,40.0,BLACK
1001758,MALE,26.0,BLACK
1001761,MALE,48.0,BLACK
1001766,MALE,49.0,BLACK
1001768,FEMALE,52.0,WHITE
1001769,MALE,26.0,BLACK
1001785,FEMALE,,BLACK
1001789,MALE,24.0,BLACK
1001790,FEMALE,35.0,WHITE
1001791,FEMALE,21.0,BLACK
1001791,MALE,28.0,BLACK
1001791,MALE,30.0,BLACK
1001794,MALE,26.0,BLACK
1001811,MALE,37.0,BLACK
1001812,MALE,37.0,HISPANIC
1001813,MALE,49.0,BLACK
1001815,MALE,24.0,BLACK
1001817,MALE,33.0,BLACK
1001821,MALE,30.0,BLACK
1001829,MALE,25.0,BLACK
1001830,MALE,44.0,BLACK
1001832,MALE,32.0,BLACK
1001832,MALE,34.0,BLACK
1001840,FEMALE,23.0,BLACK
1001843,MALE,21.0,BLACK
1001844,MALE,22.0,BLACK
1001847,MALE,27.0,WHITE
1001866,MALE,25.0,BLACK
1001870,MALE,55.0,BLACK
1001870,MALE,,BLACK
1001871,FEMALE,25.0,BLACK
1001871,FEMALE,25.0,BLACK
1001880,FEMALE,,BLACK
1001897,MALE,33.0,HISPANIC
1001898,FEMALE,33.0,HISPANIC
1001903,MALE,40.0,BLACK
1001909,MALE,36.0,WHITE
1001910,MALE,32.0,BLACK
1001925,MALE,19.0,BLACK
1001925,MALE,17.0,BLACK
1001927,FEMALE,58.0,BLACK
1001928,FEMALE,47.0,BLACK
1001929,FEMALE,25.0,BLACK
1001930,MALE,28.0,BLACK
1001932,FEMALE,,
1001932,MALE,,
1001933,MALE,30.0,BLACK
1001938,MALE,,BLACK
1001941,FEMALE,47.0,BLACK
1001990,FEMALE,25.0,BLACK
1002001,MALE,24.0,BLACK
1002004,MALE,23.0,BLACK
1002007,FEMALE,59.0,BLACK
1002009,MALE,25.0,BLACK
1002012,MALE,29.0,WHITE
1002013,MALE,31.0,BLACK
1002014,MALE,27.0,BLACK
1002017,FEMALE,27.0,BLACK
1002019,MALE,45.0,HISPANIC
1002022,MALE,22.0,BLACK
1002025,MALE,39.0,BLACK
1002029,MALE,,WHITE
1002029,MALE,,WHITE
1002031,FEMALE,,BLACK
1002052,MALE,,BLACK
1002053,MALE,26.0,BLACK
1002054,MALE,27.0,BLACK
1002057,FEMALE,33.0,BLACK
1002058,FEMALE,52.0,BLACK
1002061,FEMALE,,BLACK
1002062,MALE,,WHITE
1002072,MALE,34.0,BLACK
1002082,MALE,,BLACK
1002085,MALE,74.0,WHITE
1002088,MALE,,WHITE
1002090,MALE,,BLACK
1002091,MALE,,BLACK
1002099,FEMALE,76.0,WHITE
1002104,MALE,44.0,HISPANIC
1002115,MALE,43.0,BLACK
1002119,MALE,26.0,HISPANIC
1002122,MALE,25.0,BLACK
1002129,FEMALE,24.0,BLACK
1002140,MALE,,BLACK
1002144,MALE,38.0,HISPANIC
1002145,MALE,,BLACK
1002145,MALE,,BLACK
1002149,MALE,30.0,WHITE
1002155,FEMALE,27.0,BLACK
1002159,MALE,59.0,BLACK
1002160,MALE,29.0,BLACK
1002164,MALE,,BLACK
1002165,MALE,24.0,HISPANIC
1002169,MALE,48.0,BLACK
1002171,MALE,,HISPANIC
1002171,MALE,28.0,HISPANIC
1002173,FEMALE,61.0,BLACK
1002180,MALE,27.0,BLACK
1002180,MALE,52.0,
1002182,MALE,25.0,BLACK
1002189,MALE,24.0,HISPANIC
1002190,FEMALE,25.0,BLACK
1002194,MALE,42.0,BLACK
1002196,MALE,26.0,BLACK
1002197,FEMALE,88.0,WHITE
1002197,FEMALE,88.0,WHITE
1002202,MALE,27.0,BLACK
1002207,MALE,30.0,BLACK
1002208,MALE,23.0,BLACK
1002220,FEMALE,43.0,BLACK
1002221,MALE,28.0,BLACK
1002225,FEMALE,,BLACK
1002227,FEMALE,,BLACK
1002239,FEMALE,46.0,BLACK
1002244,MALE,26.0,BLACK
1002251,MALE,53.0,WHITE
1002269,MALE,,
1002269,MALE,,
1002280,MALE,21.0,WHITE
1002280,MALE,21.0,WHITE
1002287,MALE,,BLACK
1002300,MALE,51.0,BLACK
1002323,MALE,,HISPANIC
1002326,FEMALE,30.0,BLACK
1002337,MALE,33.0,BLACK
1002337,MALE,40.0,BLACK
1002338,MALE,24.0,BLACK
1002341,MALE,25.0,BLACK
1002341,MALE,,BLACK
1002351,MALE,44.0,BLACK
1002354,MALE,,BLACK
1002362,MALE,34.0,BLACK
1002364,MALE,40.0,BLACK
1002365,MALE,26.0,BLACK
1002371,MALE,62.0,BLACK
1002371,MALE,,BLACK
1002373,FEMALE,41.0,BLACK
1002374,MALE,24.0,BLACK
1002374,MALE,24.0,BLACK
1002374,MALE,25.0,BLACK
1002374,MALE,24.0,BLACK
1002374,MALE,28.0,BLACK
1002374,MALE,23.0,BLACK
1002390,MALE,,HISPANIC
1002405,FEMALE,,WHITE
1002413,MALE,24.0,BLACK
1002413,MALE,24.0,WHITE
1002418,MALE,,
1002419,MALE,,
1002420,FEMALE,,BLACK
1002421,FEMALE,59.0,BLACK
1002432,MALE,26.0,BLACK
1002432,MALE,30.0,BLACK
1002440,FEMALE,50.0,BLACK
1002442,MALE,,
1002443,MALE,,
1002444,MALE,,
1002445,FEMALE,,
1002450,FEMALE,,BLACK
1002459,MALE,26.0,ASIAN/PACIFIC ISLANDER
1002462,FEMALE,,
1002466,MALE,,
1002467,MALE,36.0,BLACK
1002468,MALE,25.0,BLACK
1002473,FEMALE,47.0,WHITE
1002473,FEMALE,41.0,WHITE
1002475,MALE,32.0,BLACK
1002490,FEMALE,27.0,HISPANIC
1002503,FEMALE,29.0,BLACK
1002513,MALE,25.0,BLACK
1002515,MALE,42.0,HISPANIC
1002521,FEMALE,34.0,BLACK
1002523,MALE,24.0,BLACK
1002540,,,
1002541,,,
1002542,FEMALE,,BLACK
1002550,FEMALE,28.0,BLACK
1002552,MALE,25.0,BLACK
1002554,MALE,25.0,BLACK
1002554,MALE,25.0,BLACK
1002556,FEMALE,38.0,WHITE
1002559,MALE,30.0,HISPANIC
1002561,FEMALE,22.0,BLACK
1002566,FEMALE,25.0,BLACK
1002567,MALE,,
1002568,MALE,38.0,BLACK
1002569,MALE,44.0,BLACK
1002573,MALE,29.0,BLACK
1002584,FEMALE,30.0,BLACK
1002585,MALE,,WHITE
1002597,MALE,39.0,BLACK
1002616,MALE,,WHITE
1002616,MALE,,WHITE
1002617,FEMALE,25.0,BLACK
1002617,FEMALE,43.0,BLACK
1002618,MALE,,BLACK
1002626,FEMALE,30.0,BLACK
1002633,MALE,30.0,BLACK
1002637,MALE,27.0,BLACK
1002638,MALE,26.0,BLACK
1002642,MALE,26.0,BLACK
1002654,MALE,34.0,HISPANIC
1002654,MALE,26.0,HISPANIC
1002662,MALE,29.0,BLACK
1002663,FEMALE,25.0,BLACK
1002665,MALE,45.0,BLACK
1002666,MALE,72.0,BLACK
1002667,MALE,47.0,BLACK
1002668,MALE,35.0,BLACK
1002681,MALE,,BLACK
1002682,MALE,,HISPANIC
1002686,FEMALE,,BLACK
1002693,MALE,21.0,BLACK
1002694,MALE,28.0,BLACK
1002698,MALE,46.0,WHITE
1002699,FEMALE,25.0,BLACK
1002707,MALE,37.0,BLACK
1002716,MALE,50.0,WHITE
1002716,MALE,54.0,WHITE
1002719,MALE,25.0,BLACK
1002725,MALE,,
1002726,MALE,,
1002731,MALE,26.0,HISPANIC
1002735,MALE,34.0,BLACK
1002735,MALE,25.0,BLACK
1002736,FEMALE,36.0,BLACK
1002737,MALE,26.0,BLACK
1002752,FEMALE,,BLACK
1002761,MALE,29.0,BLACK
1002762,MALE,44.0,BLACK
1002795,MALE,40.0,BLACK
1002801,FEMALE,26.0,BLACK
1002802,MALE,26.0,BLACK
1002806,MALE,26.0,BLACK
1002811,MALE,23.0,BLACK
1002813,FEMALE,42.0,BLACK
1002815,FEMALE,21.0,BLACK
1002823,MALE,55.0,BLACK
1002824,MALE,50.0,BLACK
1002825,MALE,36.0,BLACK
1002825,MALE,,BLACK
1002825,MALE,37.0,BLACK
1002826,FEMALE,52.0,HISPANIC
1002826,MALE,52.0,HISPANIC
1002829,MALE,25.0,BLACK
1002837,MALE,44.0,BLACK
1002848,MALE,29.0,BLACK
1002853,MALE,25.0,BLACK
1002856,MALE,32.0,BLACK
1002871,MALE,43.0,BLACK
1002872,MALE,33.0,HISPANIC
1002873,FEMALE,25.0,BLACK
1002879,MALE,,
1002887,MALE,62.0,BLACK
1002890,MALE,46.0,BLACK
1002891,MALE,,BLACK
1002893,MALE,38.0,BLACK
1002895,MALE,,
1002895,MALE,,
1002895,MALE,,
1002895,MALE,,
1002903,MALE,28.0,BLACK
1002903,MALE,30.0,BLACK
1002911,MALE,,HISPANIC
1002912,MALE,,BLACK
1002918,MALE,44.0,HISPANIC
1002928,FEMALE,27.0,
1002929,MALE,25.0,BLACK
