subject_ID,list_of_trr_id,gender,race,age,pb,subcats,age_band
104.0,"284,",MALE,HISPANIC,25.0,1.0,"4.2, 3.3",20-29
105.0,"285,",MALE,WHITE,39.0,0.0,"4.2, 3.3",30-39
106.0,"286,",FEMALE,BLACK,28.0,0.0,4.2,20-29
107.0,"287,288,",MALE,BLACK,35.0,0.0,"4.2, 3.3",30-39
108.0,"289,",MALE,WHITE,18.0,0.0,"4.2, 3.3",<20
109.0,"294,295,296,297,",MALE,BLACK,24.0,0.0,"4.2, 3.3",20-29
110.0,"298,",MALE,BLACK,38.0,0.0,"4.1, 3.3",30-39
35604.0,"299,",MALE,HISPANIC,47.0,0.0,"4.2, 3.3",40-49
35605.0,"300,303,",MALE,WHITE,23.0,0.0,"4.2, 3.3, 5.1",20-29
35607.0,"301,",MALE,HISPANIC,30.0,0.0,4.2,30-39
35606.0,"302,",FEMALE,WHITE,30.0,0.0,"2.0, 4.2, 3.3, 5.2",30-39
35608.0,"304,",MALE,WHITE,26.0,1.0,"2.0, 4.2, 3.3",20-29
111.0,"305,306,307,",MALE,BLACK,42.0,1.0,4.2,40-49
112.0,"308,309,",FEMALE,BLACK,25.0,0.0,4.2,20-29
113.0,"310,311,",MALE,HISPANIC,39.0,0.0,2.0,30-39
114.0,"312,313,",MALE,HISPANIC,35.0,0.0,"4.2, 3.3",30-39
35610.0,"314,",MALE,WHITE,23.0,0.0,2.0,20-29
35609.0,"315,",MALE,WHITE,81.0,0.0,"3.3, 5.2",70+
115.0,"317,",MALE,BLACK,34.0,1.0,"2.0, 4.2, 3.3",30-39
116.0,"318,319,",MALE,HISPANIC,30.0,0.0,"4.2, 3.3",30-39
117.0,"320,",MALE,HISPANIC,21.0,0.0,"2.0, 3.3",20-29
118.0,"322,323,",MALE,BLACK,26.0,0.0,"4.2, 5.2",20-29
119.0,"324,",MALE,BLACK,40.0,0.0,"4.1, 3.3",40-49
120.0,"325,326,",FEMALE,BLACK,44.0,0.0,"2.0, 4.2",40-49
121.0,"328,",MALE,HISPANIC,47.0,0.0,"4.2, 3.3",40-49
122.0,"332,",FEMALE,HISPANIC,19.0,0.0,"2.0, 4.2",<20
123.0,"334,335,336,337,",MALE,BLACK,36.0,0.0,2.0,30-39
124.0,"338,",MALE,WHITE,38.0,0.0,4.2,30-39
125.0,"340,341,",MALE,BLACK,21.0,0.0,"4.2, 3.3",20-29
126.0,"342,",FEMALE,BLACK,34.0,1.0,"4.2, 3.3",30-39
35612.0,"343,345,",MALE,BLACK,19.0,1.0,4.1,<20
35611.0,"344,",MALE,BLACK,18.0,0.0,4.2,<20
127.0,"346,347,",FEMALE,WHITE,40.0,1.0,"4.2, 3.3",40-49
128.0,"349,350,",MALE,BLACK,41.0,0.0,"4.2, 3.3",40-49
35613.0,"358,",MALE,HISPANIC,23.0,0.0,,20-29
35614.0,"359,",MALE,HISPANIC,22.0,0.0,"4.2, 3.3",20-29
129.0,"360,361,",MALE,BLACK,22.0,0.0,4.2,20-29
130.0,"364,369,370,",MALE,BLACK,19.0,0.0,5.1,<20
131.0,"366,367,",MALE,BLACK,28.0,0.0,"4.2, 3.3",20-29
132.0,"368,",FEMALE,BLACK,21.0,0.0,"2.0, 3.3",20-29
133.0,"373,375,",MALE,BLACK,22.0,0.0,2.0,20-29
134.0,"374,",MALE,BLACK,39.0,0.0,"4.2, 3.3, 5.1",30-39
35616.0,"376,",MALE,BLACK,18.0,0.0,6.0,<20
35615.0,"377,",FEMALE,BLACK,44.0,0.0,"4.2, 3.3, 5.3",40-49
35618.0,"378,",MALE,BLACK,27.0,0.0,"2.0, 4.2, 3.3",20-29
35617.0,"379,",FEMALE,BLACK,44.0,0.0,4.2,40-49
35619.0,"380,",MALE,BLACK,27.0,0.0,3.3,20-29
35620.0,"381,",MALE,BLACK,27.0,0.0,"4.2, 3.3",20-29
135.0,"384,385,",MALE,BLACK,25.0,0.0,,20-29
136.0,"386,387,",MALE,BLACK,23.0,0.0,"4.2, 3.3, 5.2",20-29
137.0,"388,389,",MALE,BLACK,68.0,0.0,"4.2, 3.3, 5.2, 5.1",60-69
138.0,"390,",MALE,BLACK,24.0,0.0,"4.2, 3.3",20-29
139.0,"395,",MALE,WHITE,22.0,0.0,"4.2, 4.1, 3.3, 5.1",20-29
35621.0,"396,",FEMALE,WHITE,21.0,0.0,4.1,20-29
35622.0,"397,",FEMALE,WHITE,22.0,1.0,6.0,20-29
140.0,"398,",MALE,BLACK,18.0,1.0,"4.2, 5.1",<20
141.0,"400,401,",MALE,WHITE,59.0,0.0,"4.2, 3.3",50-59
142.0,"402,404,",MALE,BLACK,26.0,1.0,"2.0, 4.2",20-29
143.0,"405,",MALE,BLACK,20.0,1.0,"4.2, 3.3",20-29
144.0,"409,410,",MALE,HISPANIC,27.0,0.0,5.2,20-29
145.0,"412,413,414,415,",MALE,BLACK,34.0,0.0,4.2,30-39
146.0,"418,419,",MALE,BLACK,21.0,0.0,"4.2, 4.1",20-29
147.0,"420,",FEMALE,BLACK,23.0,0.0,,20-29
148.0,"421,",MALE,WHITE,19.0,1.0,"4.2, 4.1, 3.3",<20
149.0,"422,",MALE,BLACK,29.0,0.0,"4.2, 3.3",20-29
150.0,"425,",MALE,BLACK,39.0,0.0,"4.2, 3.3",30-39
151.0,"429,430,431,",MALE,BLACK,20.0,0.0,4.2,20-29
35623.0,"433,435,",MALE,BLACK,25.0,0.0,,20-29
35624.0,"434,",MALE,BLACK,25.0,0.0,"2.0, 3.3",20-29
152.0,"436,437,",MALE,BLACK,49.0,0.0,3.3,40-49
153.0,"438,",MALE,BLACK,31.0,0.0,2.0,30-39
154.0,"439,",MALE,BLACK,34.0,1.0,"4.2, 3.3",30-39
155.0,"440,441,",MALE,WHITE,18.0,0.0,"4.2, 3.3",<20
156.0,"444,",MALE,BLACK,23.0,0.0,"4.2, 3.3",20-29
157.0,"447,",MALE,BLACK,19.0,0.0,"4.2, 3.3, 5.1",<20
158.0,"448,",MALE,BLACK,53.0,1.0,"2.0, 3.3",50-59
35625.0,"449,450,",MALE,HISPANIC,26.0,0.0,"4.2, 3.3",20-29
159.0,"451,452,453,",MALE,BLACK,41.0,0.0,"2.0, 4.2",40-49
160.0,"455,",MALE,HISPANIC,32.0,0.0,3.3,30-39
161.0,"456,457,",MALE,BLACK,24.0,0.0,4.2,20-29
162.0,"459,",MALE,ASIAN/PACIFIC ISLANDER,20.0,0.0,3.3,20-29
163.0,"460,",MALE,BLACK,29.0,1.0,"4.2, 3.3",20-29
164.0,"461,",MALE,WHITE,19.0,0.0,"4.2, 3.3",<20
165.0,"463,",MALE,BLACK,42.0,0.0,4.2,40-49
166.0,"465,",FEMALE,BLACK,24.0,0.0,"4.2, 3.3, 5.1",20-29
167.0,"466,467,",MALE,WHITE,61.0,0.0,"4.2, 3.3",60-69
168.0,"468,",MALE,BLACK,43.0,0.0,"4.2, 3.3",40-49
169.0,"469,470,",MALE,WHITE,25.0,0.0,,20-29
170.0,"472,473,474,",MALE,BLACK,44.0,0.0,4.2,40-49
171.0,"475,",MALE,BLACK,30.0,1.0,4.2,30-39
172.0,"477,478,",FEMALE,BLACK,22.0,0.0,4.2,20-29
173.0,"479,480,",MALE,BLACK,39.0,0.0,"4.2, 3.3",30-39
174.0,"482,485,",MALE,HISPANIC,23.0,0.0,"4.2, 3.3",20-29
175.0,"484,",FEMALE,BLACK,49.0,0.0,"4.2, 3.3",40-49
176.0,"486,",MALE,BLACK,35.0,0.0,4.2,30-39
35626.0,"487,488,",MALE,BLACK,30.0,0.0,"2.0, 3.3, 5.3",30-39
35627.0,"489,490,",MALE,BLACK,31.0,0.0,5.3,30-39
177.0,"491,",MALE,BLACK,62.0,0.0,4.2,60-69
35629.0,"492,",MALE,BLACK,31.0,0.0,3.3,30-39
35628.0,"493,",MALE,BLACK,32.0,0.0,"2.0, 4.1, 3.3",30-39
35630.0,"495,",FEMALE,BLACK,29.0,1.0,"4.2, 3.3, 5.1",20-29
35631.0,"496,",FEMALE,BLACK,29.0,0.0,"2.0, 3.3",20-29
35632.0,"497,",FEMALE,BLACK,29.0,0.0,4.2,20-29
35633.0,"498,499,500,",MALE,BLACK,35.0,0.0,,30-39
178.0,"504,",MALE,HISPANIC,38.0,0.0,"4.2, 3.3",30-39
179.0,"505,506,",FEMALE,BLACK,19.0,0.0,4.2,<20
180.0,"507,508,",FEMALE,BLACK,42.0,0.0,2.0,40-49
181.0,"511,512,",MALE,BLACK,21.0,0.0,4.2,20-29
182.0,"513,",MALE,BLACK,33.0,0.0,4.2,30-39
183.0,"514,",MALE,BLACK,36.0,0.0,"4.2, 3.3, 5.1",30-39
184.0,"515,",FEMALE,BLACK,30.0,0.0,"2.0, 4.2",30-39
185.0,"516,",MALE,BLACK,34.0,0.0,"2.0, 4.1",30-39
